Id,Size,Label
설치,0.02666018329757,설치
비계,0.024242932798925188,비계
자재,0.021494011122498744,자재
바닥,0.021242113817772225,바닥
이동,0.020991837724152886,이동
거푸집,0.020163444605384575,거푸집
추락,0.019866888989259233,추락
작업중,0.018448077484386594,작업중
안전,0.018145040625688995,안전
발판,0.016982112876329298,발판
사다리,0.033986936657083515,사다리
상태,0.027886606260636215,상태
거푸집,0.027832033497812648,거푸집
설치,0.0272339991494679,설치
계단,0.026612851929663763,계단
손가락,0.02639778829943329,손가락
미흡,0.02526084004730063,미흡
고정,0.024813648095459946,고정
발판,0.021819296180145515,발판
안전,0.020223029272893524,안전
안전,0.11882260447271875,안전
체결,0.06258432854339281,체결
고리,0.058548450450343785,고리
이동,0.036401835145291335,이동
운전,0.03456023956799005,운전
안전교육,0.03436357346878178,안전교육
안전벨트,0.03279581113434738,안전벨트
부족,0.030992889741021983,부족
설치,0.028578151119411834,설치
부주의,0.02770151661583421,부주의
부주의,0.42662499001112936,부주의
가설,0.0709573343335237,가설
공구,0.06803153891125752,공구
계단,0.06661638195486906,계단
본인,0.0651682201720834,본인
인력,0.06511057403624704,인력
운반,0.061713492663571005,운반
미숙,0.05952869517069078,미숙
사용,0.04709397647580774,사용
철근,0.0439378499820128,철근
자재,0.11189006260948922,자재
시스템,0.10650610459062998,시스템
비계,0.09745817842604135,비계
발판,0.0878838666474895,발판
설치,0.07836583027938104,설치
동바리,0.045252530209154124,동바리
이동,0.0452398838754966,이동
운반,0.04371197828399576,운반
외부,0.043467682443640514,외부
정리,0.04082898153879735,정리
골절,0.1480142947217369,골절
발목,0.05228049185851012,발목
왼쪽,0.04013452521890353,왼쪽
통증,0.034397391085770834,통증
시스템,0.03325058577231593,시스템
발판,0.03063884158971676,발판
손가락,0.029511830156938104,손가락
우측,0.0291822575478743,우측
자재,0.029146495267924625,자재
비계,0.02866785904397866,비계
자의,0.252463595954782,자의
부주의,0.17729512406858322,부주의
불안전,0.17072423065856598,불안전
행동,0.12656844364517622,행동
자세,0.09899993602558217,자세
실족,0.08862796274754861,실족
개인,0.08689366391129855,개인
불량,0.07989220461762082,불량
의견,0.059476968720922396,의견
실수,0.05908530849836574,실수
근로자,0.3376950005168832,근로자
행동,0.13850407135649903,행동
불안전,0.1017151947266344,불안전
부주의,0.08191717730841361,부주의
이동,0.05635718770572012,이동
미흡,0.041814659341910254,미흡
간의,0.03900198420437433,간의
대차,0.03833432656267836,대차
다림,0.03602145094219043,다림
방법,0.03548076553807149,방법
미흡,0.36972603512578306,미흡
신호,0.08746977035910926,신호
체계,0.08614068908955523,체계
전달,0.07791333548599333,전달
위험,0.0659975163195593,위험
요소,0.06142582634413734,요소
주변,0.056626501574361124,주변
운반,0.05592855071646102,운반
고정,0.0467064039968233,고정
정리,0.04609395654849471,정리
목재,0.09719406663721782,목재
부상,0.09537041626671676,부상
좌측,0.05719933020398456,좌측
자재,0.04804557033589847,자재
설치,0.03978697587318453,설치
무릎,0.03827607814032458,무릎
거푸집,0.037580309189939924,거푸집
정리,0.03591584939184741,정리
비계,0.03409170227602551,비계
부분,0.03271239348561502,부분
호수,0.16906340692504873,호수
물이,0.07186339887703479,물이
형강,0.06039492066527383,형강
배치,0.058912905206623505,배치
양수기,0.05849370887669771,양수기
콘크리트,0.05785548675727063,콘크리트
장비,0.04874091241482251,장비
신호,0.04475536583374423,신호
위치,0.035663479447071315,위치
중량,0.0330602781470118,중량
손가락,0.13333725929953752,손가락
엄지손가락,0.08373855191153477,엄지손가락
사이,0.06758955458800425,사이
시스템,0.06368416539597108,시스템
끼임,0.052689752678503864,끼임
부상,0.050854661064928974,부상
자재,0.04232784904623503,자재
우측,0.04120256839497491,우측
비계,0.039576813660078904,비계
타격,0.03668558835574316,타격
흙막이,0.27730788972306775,흙막이
토류판,0.17817416970547365,토류판
가시,0.1427164177131803,가시
굴착,0.10110749110247873,굴착
토사,0.07512639134898853,토사
작업중,0.0577293681455201,작업중
설치,0.05643949052757769,설치
간이,0.05263846208419293,간이
진흙,0.05263846208419293,진흙
상부,0.05025578910152983,상부
추락사고,0.2121297661166056,추락사고
충돌,0.19524555775076846,충돌
설치,0.05562646812685516,설치
굴착기,0.05237736865801998,굴착기
비계,0.051493995468504146,비계
고리,0.045223297126040014,고리
결속,0.04354792149074059,결속
이동,0.042619562024931196,이동
철골빔,0.03952776706694041,철골빔
시야,0.038387747112504526,시야
산소,0.37297569235241407,산소
절단,0.14317677366095397,절단
단기,0.11698741775339543,단기
화상,0.09183006862934698,화상
철골빔,0.08438864556354739,철골빔
호스,0.07996448412472669,호스
용접,0.0670014467926743,용접
용단,0.06329148417266053,용단
연료,0.0614660950789507,연료
치의,0.050887446569126166,치의
단순,1.0280462895889997,단순
과실,0.9320404007310538,과실
자의,0.6697847566413272,자의
협소,0.06651457039457492,협소
구간,0.039624770529375866,구간
계단,0.03736725367719358,계단
가설,0.035822009107085356,가설
바닥,0.030320135457697104,바닥
복구,0.0,복구
복공,0.0,복공
이동,0.353362875556022,이동
이동식,0.15889239963583324,이동식
비계,0.10350100708115278,비계
헛딛임,0.09731704236969214,헛딛임
장위,0.09731704236969214,장위
겨낭줄,0.09731704236969214,겨낭줄
횡재,0.09731704236969214,횡재
실선,0.09731704236969214,실선
조금,0.09731704236969214,조금
이끼,0.08783312695493009,이끼
근로자,0.15923102011127208,근로자
자재,0.13899045354586007,자재
정리,0.07809516920743863,정리
우마,0.06369439766227962,우마
비계,0.058376395826124805,비계
적재,0.05442323333654929,적재
