Id,Size,Label
비계,0.02497929701730244,비계
거푸집,0.024579665227455565,거푸집
바닥,0.023988285238596717,바닥
철거,0.02364871886782268,철거
작업중,0.02342711544332768,작업중
발판,0.02205265193336597,발판
자재,0.02076487099071162,자재
추락,0.019586969866807902,추락
이동,0.019429249454403982,이동
정리,0.0190144286854463,정리
상태,0.04285022635091563,상태
그라인더,0.03404869647180149,그라인더
요인,0.03229563724418816,요인
관리,0.02869710347004672,관리
진행,0.027987609758160014,진행
사망,0.02507575748871509,사망
착용,0.02472355740562591,착용
조치,0.024627285004831478,조치
원인,0.024627285004831478,원인
가시,0.024098896427190607,가시
안전,0.13653360566810577,안전
위험,0.07479072643805969,위험
부족,0.0688717069243231,부족
자의,0.04716371851938779,자의
대한,0.04440907160616342,대한
확보,0.043640334384773556,확보
미흡,0.042377077935064976,미흡
고리,0.040928965029831454,고리
개인,0.040700168985767234,개인
거리,0.038947445216889226,거리
골절,0.13850026364802262,골절
손가락,0.06242352588167662,손가락
부상,0.046362480569478025,부상
손목,0.043868721711641606,손목
왼쪽,0.039739269059552586,왼쪽
우측,0.03943130012715466,우측
오른쪽,0.03780649115785978,오른쪽
동바리,0.033668667933064125,동바리
거푸집,0.03280330915785244,거푸집
늑골,0.02837723326552082,늑골
부상,0.06238855457369804,부상
거푸집,0.061799356415709786,거푸집
부가,0.04025806675061281,부가
가드레일,0.04025806675061281,가드레일
볼트,0.035490755549966266,볼트
코킹,0.034858360432467844,코킹
왼쪽,0.03403012067656257,왼쪽
손가락,0.03401709827714978,손가락
튀어,0.03338352447161934,튀어
빠루,0.031556495401132506,빠루
계단,0.07868659662937232,계단
가설,0.06672370786500115,가설
사다리,0.0639511621557851,사다리
자재,0.053309813024230795,자재
교량,0.04025977328075901,교량
정리,0.03920349389200125,정리
보도,0.03782752020359452,보도
지지,0.032014110108336914,지지
발판,0.03186178607255798,발판
슬라브,0.03120171086197391,슬라브
벽체,0.09589157980549542,벽체
콘크리트,0.06460929479709107,콘크리트
낙하,0.04824037049939388,낙하
비계,0.042753027587306106,비계
철거,0.04170222802682484,철거
공사,0.03766196077987051,공사
적벽,0.03553168665995468,적벽
시공,0.035275457595797734,시공
거푸집,0.03411003438529436,거푸집
하부,0.03269227186150681,하부
부주의,1.0492515265233822,부주의
순서,0.1581362968367271,순서
결빙,0.12228091516786338,결빙
동작,0.12228091516786338,동작
부적정,0.11547798164485269,부적정
자세,0.08783046319318895,자세
원인,0.08611173124138354,원인
낙상,0.07469959025278614,낙상
불량,0.07373114740223792,불량
도중,0.06523614142738648,도중
지붕,0.21227659954291245,지붕
토사,0.06213032208808246,토사
추락,0.059045236582361244,추락
설치,0.05750819447580272,설치
건물,0.052765617338505995,건물
안전,0.051709350453132394,안전
철거,0.045906081658561214,철거
슬레이트,0.03587513206405415,슬레이트
붕괴,0.033586494830515325,붕괴
살수,0.03181820791543858,살수
자의,0.3883146158096261,자의
부주의,0.31285998863881775,부주의
단순,0.309447669138383,단순
과실,0.2215880725516405,과실
개인,0.1322755492037435,개인
발판,0.07346953023789839,발판
상체,0.06108315144684786,상체
태자,0.06108315144684786,태자
신설,0.06108315144684786,신설
자재,0.05853626528150833,자재
어깨,0.12843694070156408,어깨
왼쪽,0.05057117837333554,왼쪽
본인,0.04440438005142493,본인
강제,0.04440171559409449,강제
선관,0.04440171559409449,선관
제거,0.04333013671037522,제거
좌측,0.043005172520977894,좌측
부위,0.039871163605624205,부위
거푸집,0.03935924428781517,거푸집
발등,0.03828083266364576,발등
폐기물,0.1729302048468129,폐기물
적재,0.11516683354564437,적재
트럭,0.09550611494531684,트럭
자재,0.0925211630999047,자재
차량,0.07783052135078282,차량
야적,0.06366692277335036,야적
컨테이너,0.06366692277335036,컨테이너
운반,0.05097142737680217,운반
상부,0.046911754786669514,상부
철거,0.04427694020932691,철거
손가락,0.14269510056518672,손가락
사이,0.08987513367923645,사이
왼손,0.08662120813689492,왼손
거푸집,0.07380171076090963,거푸집
엄지손가락,0.053875244328127445,엄지손가락
러그,0.0538720115774503,러그
정리,0.05373346015966605,정리
자재,0.046972282804567,자재
새끼손가락,0.04506622150069775,새끼손가락
끼임,0.0438794795890492,끼임
근로자,0.3510654087384388,근로자
부주의,0.08182492010553696,부주의
지주,0.06843871347604177,지주
인적,0.06843871347604177,인적
공간,0.06069935048483668,공간
계단,0.05931758822829606,계단
거푸집,0.057304857767294534,거푸집
요인,0.05675199160175287,요인
실행,0.047926780365988325,실행
탈구,0.047926780365988325,탈구
물이,0.1731868288316402,물이
호수,0.09776350607943426,호수
낙하,0.0760974858581988,낙하
잔해,0.07409310387820439,잔해
빗물,0.05201221442244673,빗물
잔재,0.050939333973776174,잔재
철거,0.05030525601247471,철거
발기,0.04554061247966022,발기
물의,0.04554061247966022,물의
안전모,0.04478797152816879,안전모
미흡,0.44715123614240976,미흡
통제,0.12989645632337546,통제
주변,0.10415258228084008,주변
환경,0.0987658187678127,환경
고소,0.08855356251634741,고소
순서,0.07634166054186826,순서
대한,0.075206167241089,대한
우물,0.07161472928251128,우물
경내,0.07161472928251128,경내
풍속,0.07161472928251128,풍속
목재,0.2594635772842661,목재
나무,0.19819703018893292,나무
수목,0.16184918575543383,수목
객체,0.1077440231549006,객체
아웃,0.1017498299807793,아웃
트리,0.1017498299807793,트리
가해,0.0933255183764206,가해
벌목,0.06783321998718621,벌목
대상,0.062217012250947064,대상
선별,0.04356980033271666,선별
흙막이,0.1902523855241358,흙막이
충돌,0.10063218889609908,충돌
갱폼,0.081795599760512,갱폼
받침,0.0797062178083714,받침
순간,0.0797062178083714,순간
가설,0.07925967722145591,가설
바닥,0.06967226901466553,바닥
추락,0.0657383554317647,추락
하층,0.06424133289898958,하층
볼트,0.06338147051751551,볼트
이동식,0.2535440990557449,이동식
이동,0.24572887599438298,이동
경로,0.15826573817115935,경로
비계,0.15692876008517062,비계
협소,0.12275180332571005,협소
배관,0.09213068131379538,배관
인계,0.08900687782254973,인계
주형,0.08900687782254973,주형
음으로,0.08900687782254973,음으로
라켓,0.08900687782254973,라켓
횡대,0.1385907456903178,횡대
수평,0.11248363683306908,수평
외부,0.09409155906723637,외부
난간,0.09305808751118416,난간
시스템,0.08996965945757418,시스템
소형,0.08934356187081575,소형
안전,0.07300143593383397,안전
체인,0.0717502641281083,체인
블럭,0.06717298966103065,블럭
승강,0.06717298966103065,승강
