Source,Target,Weight
0,1,0.8830860373475151
0,2,0.7597429993241135
0,3,0.9407178186959261
0,4,0.9203527201179585
0,5,0.9542270741094634
0,6,0.9480932128928357
0,7,0.9101191213615114
0,8,0.9610564499610375
1,2,0.7362004209663969
1,3,0.9369153741652193
1,4,0.9307830679290565
1,5,0.8602154932795962
1,6,0.8702593075935642
1,7,0.9037485701500083
1,8,0.8730014832243146
2,3,0.776877904506742
2,4,0.7856405296360283
2,5,0.7564827208362763
2,6,0.737242419065742
2,7,0.7595077519948754
2,8,0.7712074785853762
3,4,0.9658931110995791
3,5,0.9166390162058448
3,6,0.9035937659543319
3,7,0.9303955723883459
3,8,0.9287141473676276
4,5,0.8991643795777815
4,6,0.9142998742685677
4,7,0.9547785624553674
4,8,0.9017142508841443
5,6,0.9386823205225718
5,7,0.892974371355755
5,8,0.9328808824265126
6,7,0.909831671856408
6,8,0.9166037419554149
7,8,0.9001475807953373
