Id,Size,Label
이동,0.06910437524424366,이동
자재,0.06322346392338422,자재
운반,0.05411912499367136,운반
비계,0.05313864685554277,비계
사용,0.05111478395585976,사용
철근,0.04055359841928322,철근
주위,0.040435341311814504,주위
설치,0.039875043900655764,설치
단독,0.037175411989220856,단독
손가락,0.03588055050245726,손가락
단순,1.4813190129726208,단순
과실,1.3836818667813178,과실
자의,0.2843505842255484,자의
반경,0.12901713186973368,반경
반복,0.12250483252846119,반복
동작,0.10986390360038496,동작
낙하,0.07737557208533705,낙하
부주의,0.04959308399408908,부주의
배관,0.0,배관
배근,0.0,배근
근로자,0.2567720882818797,근로자
미흡,0.08588049297352204,미흡
부주의,0.0780960564791129,부주의
행동,0.05017194989954486,행동
결빙,0.041996003608059974,결빙
질병,0.041996003608059974,질병
불안전,0.041127111374044796,불안전
방법,0.03998794007707903,방법
위험,0.039592556499000786,위험
불량,0.03555172710015616,불량
부주의,1.3207421316320564,부주의
돌풍,0.16002833436309655,돌풍
기술,0.14938825795442845,기술
자재,0.14206081974687546,자재
임목,0.12372673905937746,임목
중량,0.11543583657471769,중량
렌탈,0.10572390824405586,렌탈
철골,0.0908506414074864,철골
난간,0.08959276767775867,난간
발판,0.08231201122318506,발판
부주의,0.21481771097957755,부주의
자의,0.19447811978120408,자의
불안전,0.1686992910420663,불안전
개인,0.137782280576464,개인
행동,0.12348018757660004,행동
부족,0.08457868480600955,부족
판단,0.0730821152993214,판단
자세,0.06818489828765709,자세
평재,0.0630163389201831,평재
인지,0.061523442259118696,인지
자재,0.23564056608807124,자재
이동,0.21073037505799574,이동
균형,0.2047943331057109,균형
운반,0.20432730864957552,운반
년월,0.11873870067755052,년월
트러스,0.10668428827642654,트러스
설치,0.08782003716215851,설치
혼합,0.08063190923399446,혼합
소속,0.08063190923399446,소속
압송,0.08063190923399446,압송
이동,0.7867267335498509,이동
보행,0.3989620342765698,보행
뒷걸음,0.2709232150262214,뒷걸음
잔돌,0.2709232150262214,잔돌
바닥상태,0.2709232150262214,바닥상태
헛딛음,0.2709232150262214,헛딛음
물체,0.24324306823190675,물체
지정,0.22707015209073128,지정
통행,0.20672834724804065,통행
주위,0.1994810171382849,주위
미흡,0.3841170825086908,미흡
통제,0.11656696979670947,통제
주변,0.09785662254441277,주변
동부,0.09621616614014036,동부
원인,0.09311303890794358,원인
착용,0.087389458222275,착용
하부,0.07892182639194514,하부
구간,0.07461165064693137,구간
확보,0.0728928982240666,확보
보호,0.06916816172694848,보호
철골,0.04609457036420351,철골
안전,0.04100666542382942,안전
설치,0.040190201169054134,설치
자재,0.0364526842567182,자재
추락,0.03446335498611279,추락
이동,0.030486264613464906,이동
데크,0.028897591842004966,데크
바닥,0.02686368643670827,바닥
체결,0.02660511070748625,체결
철근,0.026481823399946303,철근
