Source,Target,Weight
부주의,비계,0.04621724995424908
행동,불안전,0.056473091482402635
행동,미흡,0.05292545886968207
행동,이동,0.049125483919724544
행동,안전,0.04703274343550426
행동,통로,0.043117979448648716
행동,자재,0.042543884447894975
행동,비계,0.04123203917900843
불안전,미흡,0.049498852057555796
불안전,이동,0.04569887710759827
불안전,안전,0.04360613662337799
불안전,통로,0.03969137263652245
불안전,자재,0.0391172776357687
불안전,비계,0.037805432366882157
미흡,이동,0.0421512444948777
미흡,안전,0.040058504010657414
미흡,통로,0.03614374002380187
미흡,자재,0.03556964502304813
미흡,비계,0.034257799754161586
이동,안전,0.03625852906069989
이동,통로,0.032343765073844344
이동,자재,0.0317696700730906
이동,비계,0.03045782480420406
안전,통로,0.030251024589624066
안전,자재,0.029676929588870325
안전,비계,0.02836508431998378
통로,자재,0.025762165602014782
통로,비계,0.024450320333128238
자재,비계,0.023876225332374493
계단,사다리,0.23707071139566488
계단,이동,0.15569221888794693
계단,이용,0.1506952467858415
계단,설치,0.14820726573165688
계단,이동식,0.14746092986664122
계단,비계,0.1474257613201681
계단,승강,0.1446247639312332
계단,난간,0.14397124091634572
계단,낙상,0.14349583719678213
사다리,이동,0.13438268193343722
사다리,이용,0.1293857098313318
사다리,설치,0.12689772877714717
사다리,이동식,0.1261513929121315
사다리,비계,0.1261162243656584
사다리,승강,0.1233152269767235
사다리,난간,0.12266170396183602
사다리,낙상,0.12218630024227242
이동,이용,0.04800721732361385
이동,설치,0.04551923626942922
이동,이동식,0.04477290040441356
이동,비계,0.04473773185794044
이동,승강,0.04193673446900553
이동,난간,0.04128321145411806
이동,낙상,0.04080780773455446
이용,설치,0.040522264167323824
이용,이동식,0.03977592830230817
이용,비계,0.03974075975583504
이용,승강,0.036939762366900136
이용,난간,0.03628623935201267
이용,낙상,0.035810835632449065
설치,이동식,0.03728794724812354
설치,비계,0.03725277870165041
설치,승강,0.03445178131271551
설치,난간,0.03379825829782804
설치,낙상,0.033322854578264435
이동식,비계,0.036506442836634755
이동식,승강,0.03370544544769985
이동식,난간,0.03305192243281238
이동식,낙상,0.03257651871324878
비계,승강,0.033670276901226724
비계,난간,0.03301675388633925
비계,낙상,0.03254135016677566
승강,난간,0.030215756497404343
승강,낙상,0.029740352777840748
난간,낙상,0.02908682976295328
미흡,질병,0.13611585507916474
미흡,질환,0.13511269502982742
미흡,원인,0.12026756483326637
