Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
철골빔,철골빔,19,19,38,3,0.492701,0.541975,257.588337,3,-9502.396484,9071.638672,429.629639,"#ff5c81"
시야,시야,12,12,24,3,0.48913,0.522222,6.238216,0,-8487.045898,-517.226074,338.888885,"#c686e9"
구간,구간,50,50,100,2,0.613636,0.685185,713.0383,4,-15007.147461,-14830.779297,831.481506,"#00caff"
복구,복구,27,27,54,3,0.511364,0.574074,171.612564,4,-10898.623047,-14181.107422,533.333374,"#00caff"
적재,적재,28,28,56,3,0.535714,0.591358,35.27256,0,2227.892822,4977.243652,546.296265,"#c686e9"
하부,하부,42,42,84,3,0.586957,0.653086,453.214823,5,14433.960938,6568.84082,727.777771,"#2e9072"
공구,공구,28,28,56,3,0.546559,0.597531,109.844915,1,-11479.040039,-17270.074219,546.296265,"#ea8615"
철근,철근,26,26,52,3,0.531496,0.583951,74.865246,1,-16542.212891,-7498.044922,520.370361,"#ea8615"
골절,골절,12,12,24,3,0.439739,0.483951,3.207439,0,-4524.491699,5080.075684,338.888885,"#c686e9"
통증,통증,23,23,46,3,0.494505,0.553086,57.2882,0,-5820.438965,14785.696289,481.481476,"#c686e9"
근로자,근로자,21,21,42,3,0.515267,0.561728,125.684944,4,-2477.268555,-4419.837402,455.555542,"#00caff"
전달,전달,34,34,68,3,0.56962,0.624691,448.321643,5,7850.093262,301.63739,624.074097,"#2e9072"
주변,주변,20,20,40,3,0.533597,0.57037,117.658431,2,6604.685059,-12540.960938,442.59259,"#5fc613"
엄지손가락,엄지손가락,10,10,20,3,0.427215,0.467901,0,0,-2829.716797,6570.739746,312.962952,"#c686e9"
이동식,이동식,19,19,38,3,0.509434,0.553086,1.172754,1,-11147.905273,-2458.062744,429.629639,"#ea8615"
헛딛임,헛딛임,19,19,38,3,0.509434,0.553086,1.172754,1,-14013.830078,-2570.432373,429.629639,"#ea8615"
장위,장위,19,19,38,3,0.509434,0.553086,1.172754,1,-14940.362305,-4110.771973,429.629639,"#ea8615"
겨낭줄,겨낭줄,19,19,38,3,0.509434,0.553086,1.172754,1,-12961.793945,-1013.336609,429.629639,"#ea8615"
횡재,횡재,19,19,38,3,0.509434,0.553086,1.172754,1,-12795.808594,-4145.440918,429.629639,"#ea8615"
실선,실선,19,19,38,3,0.509434,0.553086,1.172754,1,-16033.448242,-2029.954102,429.629639,"#ea8615"
조금,조금,19,19,38,3,0.509434,0.553086,1.172754,1,-15040.331055,-336.207336,429.629639,"#ea8615"
이끼,이끼,19,19,38,3,0.509434,0.553086,1.172754,1,-13605.429688,955.860474,429.629639,"#ea8615"
우마,우마,15,15,30,3,0.467128,0.51358,2.300857,0,-7311.880859,467.51123,377.777771,"#c686e9"
정리정돈,정리정돈,15,15,30,3,0.467128,0.51358,2.300857,0,-7861.115234,3441.977539,377.777771,"#c686e9"
원상,원상,14,14,28,3,0.465517,0.509877,1.827372,0,-8183.750488,2068.90918,364.814819,"#c686e9"
중량,중량,43,43,86,3,0.579399,0.651852,734.329436,2,25781.25,-15681.902344,740.740723,"#5fc613"
가설,가설,21,21,42,3,0.513308,0.560494,116.952734,4,-7487.564941,-13911.628906,455.555542,"#00caff"
자의,자의,18,18,36,3,0.475352,0.52716,140.07272,4,-7797.073242,-11915.897461,416.666687,"#00caff"
단순,단순,9,9,18,3,0.432692,0.47037,0.424669,4,-9227.885742,-12108.301758,300,"#00caff"
과실,과실,9,9,18,3,0.432692,0.47037,0.424669,4,-9927.450195,-12192.064453,300,"#00caff"
협소,협소,9,9,18,3,0.432692,0.47037,0.424669,4,-9531.413086,-13220.172852,300,"#00caff"
복공,복공,13,13,26,3,0.451505,0.496296,49.715357,4,-10900.219727,-12266.69043,351.851868,"#00caff"
하층,하층,17,17,34,3,0.494505,0.538272,34.460681,5,13743.359375,11297.177734,403.703705,"#2e9072"
얼굴,얼굴,16,16,32,3,0.487365,0.530864,28.262631,5,14628.580078,13050.677734,390.740723,"#2e9072"
불안전,불안전,18,18,36,3,0.460751,0.516049,27.158871,4,-4631.854492,-10393.111328,416.666687,"#00caff"
행동,행동,17,17,34,3,0.457627,0.511111,24.603069,4,-3458.918457,-9309.988281,403.703705,"#00caff"
간의,간의,26,26,52,3,0.490909,0.558025,171.928385,2,7183.459961,-15481.387695,520.370361,"#5fc613"
대차,대차,14,14,28,3,0.45302,0.5,12.819409,4,-1834.975464,-9728.119141,364.814819,"#00caff"
다림,다림,9,9,18,3,0.439739,0.476543,0,4,-3276.790527,-6753.942383,300,"#00caff"
방법,방법,27,27,54,3,0.513308,0.575309,167.32566,4,-2201.089844,-15967.994141,533.333374,"#00caff"
포트,포트,13,13,26,3,0.444079,0.490123,1.477217,5,14940.192383,10398.141602,351.851868,"#2e9072"
드롭,드롭,12,12,24,3,0.438312,0.482716,0.222222,5,16573.574219,11023.419922,338.888885,"#2e9072"
패널,패널,13,13,26,3,0.444079,0.490123,1.477217,5,16423.419922,12311.885742,351.851868,"#2e9072"
손등,손등,15,15,30,3,0.477032,0.520988,20.624904,5,16379.873047,13743.057617,377.777771,"#2e9072"
조정,조정,14,14,28,3,0.459184,0.504938,14.718019,5,17915.478516,12856.540039,364.814819,"#2e9072"
손위,손위,12,12,24,3,0.438312,0.482716,0.222222,5,18111.613281,11171.196289,338.888885,"#2e9072"
자세,자세,17,17,34,3,0.45302,0.507407,31.923521,4,-5643.923828,-15596.052734,403.703705,"#00caff"
실족,실족,12,12,24,3,0.429936,0.475309,1.337175,4,-5900.475098,-12102.395508,338.888885,"#00caff"
개인,개인,27,27,54,3,0.492701,0.561728,269.132437,4,1627.331665,-19542.494141,533.333374,"#00caff"
불량,불량,15,15,30,3,0.462329,0.509877,19.207413,4,-4571.173828,-12892.111328,377.777771,"#00caff"
의견,의견,12,12,24,3,0.429936,0.475309,1.337175,4,-5832.403809,-13451.808594,338.888885,"#00caff"
실수,실수,15,15,30,3,0.45302,0.502469,16.562738,4,-7319.292969,-16371.099609,377.777771,"#00caff"
용접,용접,19,19,38,3,0.480427,0.533333,263.635818,3,-10065.558594,20304.994141,429.629639,"#ff5c81"
위험,위험,24,24,48,3,0.523256,0.574074,145.554351,2,12235.526367,-17481.253906,494.444458,"#5fc613"
물이,물이,11,11,22,3,0.460751,0.498765,76.953205,2,21164.839844,-9607.787109,325.925934,"#5fc613"
산소,산소,10,10,20,3,0.405405,0.446914,0,3,-14593.255859,18650.242188,312.962952,"#ff5c81"
절단,절단,13,13,26,3,0.436893,0.483951,91.933895,3,-14045.918945,20551.601562,351.851868,"#ff5c81"
단기,단기,10,10,20,3,0.405405,0.446914,0,3,-15389.516602,19482.890625,312.962952,"#ff5c81"
화상,화상,10,10,20,3,0.405405,0.446914,0,3,-15571.504883,20567.708984,312.962952,"#ff5c81"
호스,호스,11,11,22,3,0.415385,0.459259,27.236695,3,-13240.739258,19007.257812,325.925934,"#ff5c81"
용단,용단,11,11,22,3,0.41411,0.458025,14.407633,3,-16752.484375,19498.671875,325.925934,"#ff5c81"
연료,연료,10,10,20,3,0.405405,0.446914,0,3,-15268.293945,21774.935547,312.962952,"#ff5c81"
치의,치의,10,10,20,3,0.405405,0.446914,0,3,-16759.216797,21245.662109,312.962952,"#ff5c81"
본인,본인,11,11,22,3,0.470383,0.506173,4.160489,4,-4275.567383,-17041.947266,325.925934,"#00caff"
인력,인력,25,25,50,3,0.507519,0.566667,195.095812,2,9997.526367,-21142.345703,507.40741,"#5fc613"
미숙,미숙,11,11,22,3,0.470383,0.506173,4.160489,4,-4833.945312,-18409.958984,325.925934,"#00caff"
신호,신호,32,32,64,3,0.535714,0.601235,275.232923,2,15160.0625,-12811.636719,598.148193,"#5fc613"
체계,체계,23,23,46,3,0.5,0.55679,85.458821,2,12808.833984,-14683.024414,481.481476,"#5fc613"
요소,요소,11,11,22,3,0.470383,0.506173,0.765509,2,10179.602539,-11411.421875,325.925934,"#5fc613"
인조,인조,20,20,40,3,0.470383,0.528395,19.093998,2,15092.442383,-19259.214844,442.59259,"#5fc613"
형강,형강,21,21,42,3,0.454545,0.518519,76.456412,2,22902.392578,-18121.238281,455.555542,"#5fc613"
의사소통,의사소통,18,18,36,3,0.456081,0.512346,8.048496,2,16476.015625,-15835.413086,416.666687,"#5fc613"
일치,일치,18,18,36,3,0.456081,0.512346,8.048496,2,15632.53418,-17162.808594,416.666687,"#5fc613"
자간,자간,17,17,34,3,0.439739,0.496296,3.389966,2,17381.283203,-17358.09375,403.703705,"#5fc613"
기사,기사,18,18,36,3,0.456081,0.512346,8.048496,2,18564.523438,-16174.804688,416.666687,"#5fc613"
상호,상호,18,18,36,3,0.456081,0.512346,8.048496,2,17080.828125,-19005.189453,416.666687,"#5fc613"
제때,제때,17,17,34,3,0.439739,0.496296,3.389966,2,19325.4375,-18207.207031,403.703705,"#5fc613"
관계,관계,17,17,34,3,0.439739,0.496296,3.389966,2,18524.232422,-20007.728516,403.703705,"#5fc613"
호수,호수,9,9,18,3,0.425868,0.464198,0,2,21806.724609,-11651.554688,300,"#5fc613"
배치,배치,9,9,18,3,0.425868,0.464198,0,2,24313.484375,-11270.564453,300,"#5fc613"
양수기,양수기,9,9,18,3,0.425868,0.464198,0,2,23542.652344,-12405.151367,300,"#5fc613"
콘크리트,콘크리트,11,11,22,3,0.441176,0.482716,36.024182,2,22953.291016,-9286.882812,325.925934,"#5fc613"
