Source,Target,Type,Id,Label,Weight,Color
설치,이용,Directed,10946,,0.20422,"#000000"
설치,높이,Directed,10947,,0.095934,"#000000"
설치,사용,Directed,10949,,0.091511,"#000000"
설치,포트,Directed,10955,,0.075928,"#000000"
설치,천장,Directed,10956,,0.072974,"#000000"
설치,발목,Directed,10960,,0.372239,"#000000"
설치,철골,Directed,10961,,0.134038,"#000000"
설치,계단,Directed,10969,,0.178207,"#000000"
설치,우측,Directed,10970,,0.077612,"#000000"
설치,건물,Directed,10972,,0.105221,"#000000"
설치,점등,Directed,10975,,0.061344,"#000000"
설치,가로,Directed,10976,,0.061344,"#000000"
설치,벽돌,Directed,10977,,0.122689,"#000000"
설치,신년,Directed,10978,,0.061344,"#000000"
설치,허리,Directed,10979,,0.123259,"#000000"
설치,내부,Directed,10981,,0.258972,"#000000"
설치,덕트,Directed,10985,,0.063687,"#000000"
설치,벽면,Directed,10988,,0.027978,"#000000"
설치,벽체,Directed,10989,,0.062889,"#000000"
설치,엘리베이터,Directed,10990,,0.434814,"#000000"
설치,상층,Directed,10991,,0.132673,"#000000"
설치,와이어로프,Directed,10992,,0.1211,"#000000"
설치,외줄,Directed,10994,,0.113533,"#000000"
설치,텐션,Directed,10995,,0.104571,"#000000"
설치,피트,Directed,10996,,0.104571,"#000000"
설치,이스트,Directed,10998,,0.10137,"#000000"
설치,로프,Directed,10999,,0.147555,"#000000"
설치,밸브,Directed,11000,,0.120913,"#000000"
설치,지지,Directed,11001,,0.097727,"#000000"
설치,리프트,Directed,11003,,0.092352,"#000000"
설치,테이블,Directed,11005,,0.067434,"#000000"
설치,중인,Directed,11006,,0.068081,"#000000"
설치,인양,Directed,11007,,0.094455,"#000000"
설치,협착된,Directed,11008,,0.067708,"#000000"
비계,배관,Directed,11009,,0.238538,"#000000"
비계,바닥,Directed,11010,,0.037239,"#000000"
비계,설치,Directed,11011,,0.197632,"#000000"
비계,자재,Directed,11012,,0.168656,"#000000"
비계,이동,Directed,11013,,0.272579,"#000000"
비계,안전,Directed,11014,,0.076446,"#000000"
비계,발판,Directed,11015,,0.091744,"#000000"
비계,상태,Directed,11016,,0.093741,"#000000"
비계,운반,Directed,11017,,0.151286,"#000000"
비계,차량,Directed,11021,,0.029672,"#000000"
비계,고정,Directed,11022,,0.024187,"#000000"
비계,구간,Directed,11023,,0.07816,"#000000"
비계,사이,Directed,11026,,0.06008,"#000000"
비계,추락,Directed,11028,,0.384215,"#000000"
비계,이용,Directed,11029,,0.144741,"#000000"
비계,높이,Directed,11030,,0.061643,"#000000"
비계,사용,Directed,11032,,0.055113,"#000000"
비계,행동,Directed,11033,,0.141861,"#000000"
비계,불안전,Directed,11034,,0.213771,"#000000"
비계,자세,Directed,11039,,0.094237,"#000000"
비계,방법,Directed,11040,,0.043494,"#000000"
비계,포트,Directed,11043,,0.044996,"#000000"
비계,천장,Directed,11045,,0.039357,"#000000"
비계,발목,Directed,11048,,0.062944,"#000000"
비계,철골,Directed,11049,,0.068067,"#000000"
비계,이동식,Directed,11050,,0.231834,"#000000"
비계,이송,Directed,11051,,0.169943,"#000000"
비계,통로,Directed,11053,,0.135055,"#000000"
비계,지정,Directed,11054,,0.122751,"#000000"
비계,하나,Directed,11056,,0.083224,"#000000"
비계,마치,Directed,11061,,0.160446,"#000000"
비계,우측,Directed,11062,,0.052233,"#000000"
비계,대차,Directed,11068,,0.124334,"#000000"
비계,협착,Directed,11070,,0.049397,"#000000"
비계,덕트,Directed,11072,,0.053796,"#000000"
비계,낙상,Directed,11075,,0.098826,"#000000"
비계,주장,Directed,11076,,0.067838,"#000000"
비계,인력,Directed,11078,,0.077938,"#000000"
비계,중량,Directed,11079,,0.073734,"#000000"
비계,벽체,Directed,11080,,0.027551,"#000000"
비계,로프,Directed,11083,,0.084776,"#000000"
자재,배관,Directed,11086,,0.150693,"#000000"
자재,바닥,Directed,11087,,0.030954,"#000000"
자재,설치,Directed,11088,,0.179824,"#000000"
자재,비계,Directed,11089,,0.168656,"#000000"
자재,이동,Directed,11090,,0.221349,"#000000"
자재,안전,Directed,11091,,0.187245,"#000000"
자재,발판,Directed,11092,,0.120037,"#000000"
자재,상태,Directed,11093,,0.063209,"#000000"
자재,운반,Directed,11094,,0.131395,"#000000"
자재,구간,Directed,11098,,0.072355,"#000000"
자재,실시,Directed,11100,,0.023722,"#000000"
자재,끼임,Directed,11102,,0.03528,"#000000"
자재,추락,Directed,11104,,0.130745,"#000000"
자재,이용,Directed,11105,,0.122245,"#000000"
자재,높이,Directed,11106,,0.044684,"#000000"
자재,사용,Directed,11108,,0.048025,"#000000"
자재,부주의,Directed,11109,,2.339839,"#000000"
자재,동작,Directed,11110,,0.06124,"#000000"
자재,본인,Directed,11111,,0.064851,"#000000"
자재,부족,Directed,11112,,0.102023,"#000000"
자재,홀더선,Directed,11113,,0.044844,"#000000"
자재,순관,Directed,11114,,0.044844,"#000000"
자재,능력,Directed,11115,,0.044844,"#000000"
자재,부품,Directed,11116,,0.044844,"#000000"
자재,행동,Directed,11117,,0.123874,"#000000"
자재,불안전,Directed,11118,,0.187924,"#000000"
자재,자세,Directed,11124,,0.095046,"#000000"
자재,방법,Directed,11125,,0.05912,"#000000"
자재,포트,Directed,11128,,0.149433,"#000000"
자재,천장,Directed,11130,,0.137163,"#000000"
자재,발목,Directed,11133,,0.233925,"#000000"
자재,철골,Directed,11134,,0.233172,"#000000"
자재,이동식,Directed,11135,,0.227738,"#000000"
자재,이송,Directed,11136,,0.177015,"#000000"
자재,통로,Directed,11137,,0.141253,"#000000"
자재,지정,Directed,11138,,0.133071,"#000000"
자재,하나,Directed,11141,,0.088233,"#000000"
자재,협착,Directed,11152,,0.050023,"#000000"
자재,낙상,Directed,11158,,0.083857,"#000000"
자재,중량,Directed,11159,,0.05732,"#000000"
자재,이스트,Directed,11163,,0.049325,"#000000"
이동,배관,Directed,11165,,2.702425,"#000000"
이동,바닥,Directed,11166,,0.171869,"#000000"
이동,설치,Directed,11167,,1.774378,"#000000"
이동,비계,Directed,11168,,0.272579,"#000000"
이동,자재,Directed,11169,,0.221349,"#000000"
이동,안전,Directed,11170,,0.429166,"#000000"
이동,발판,Directed,11171,,0.697478,"#000000"
이동,상태,Directed,11172,,0.696101,"#000000"
이동,운반,Directed,11173,,0.280333,"#000000"
이동,구간,Directed,11177,,0.201419,"#000000"
이동,사이,Directed,11180,,0.930916,"#000000"
이동,추락,Directed,11182,,1.14829,"#000000"
이동,이용,Directed,11183,,1.109997,"#000000"
이동,부주의,Directed,11185,,5.743213,"#000000"
이동,부족,Directed,11186,,0.78592,"#000000"
이동,근로자,Directed,11187,,0.978257,"#000000"
이동,행동,Directed,11188,,0.578325,"#000000"
이동,불안전,Directed,11189,,0.413215,"#000000"
이동,작업장,Directed,11191,,0.24516,"#000000"
이동,체계,Directed,11192,,0.235202,"#000000"
이동,신호,Directed,11195,,0.226472,"#000000"
이동,포트,Directed,11198,,0.445948,"#000000"
이동,천장,Directed,11200,,0.417318,"#000000"
이동,발목,Directed,11204,,0.215596,"#000000"
이동,철골,Directed,11205,,0.73861,"#000000"
이동,이동식,Directed,11206,,0.380312,"#000000"
이동,이송,Directed,11207,,0.77161,"#000000"
이동,통로,Directed,11209,,0.643728,"#000000"
이동,지정,Directed,11210,,0.64199,"#000000"
이동,하나,Directed,11212,,0.481652,"#000000"
이동,계단,Directed,11217,,5.015967,"#000000"
이동,마치,Directed,11218,,0.577105,"#000000"
이동,가설,Directed,11219,,1.42107,"#000000"
이동,건물,Directed,11222,,0.667783,"#000000"
이동,점등,Directed,11225,,0.531406,"#000000"
이동,가로,Directed,11226,,0.531406,"#000000"
이동,벽돌,Directed,11227,,1.062812,"#000000"
이동,신년,Directed,11228,,0.531406,"#000000"
이동,대차,Directed,11231,,0.865405,"#000000"
이동,바퀴,Directed,11232,,0.523832,"#000000"
이동,컨베이어,Directed,11233,,0.51851,"#000000"
이동,협착,Directed,11235,,0.442533,"#000000"
이동,방향,Directed,11236,,0.422368,"#000000"
이동,덕트,Directed,11237,,0.421399,"#000000"
이동,크레인,Directed,11238,,0.404003,"#000000"
이동,낙상,Directed,11242,,0.424373,"#000000"
이동,미고,Directed,11243,,0.401177,"#000000"
이동,주장,Directed,11244,,0.40902,"#000000"
이동,조기,Directed,11245,,0.401853,"#000000"
이동,인력,Directed,11247,,0.341751,"#000000"
이동,중량,Directed,11248,,0.254871,"#000000"
안전,배관,Directed,11254,,0.188646,"#000000"
안전,바닥,Directed,11255,,0.037032,"#000000"
안전,설치,Directed,11256,,0.12492,"#000000"
안전,비계,Directed,11257,,0.076446,"#000000"
안전,자재,Directed,11258,,0.187245,"#000000"
안전,이동,Directed,11259,,0.429166,"#000000"
