Source,Target,Type,Id,Label,Weight,Color
바닥,발목,Directed,30348,,0.079765,"#000000"
바닥,오른쪽,Directed,30349,,0.03534,"#000000"
바닥,우측,Directed,30350,,0.070038,"#000000"
바닥,부위,Directed,30353,,0.031996,"#000000"
절단,자의,Directed,30357,,0.140203,"#000000"
절단,부주의,Directed,30358,,0.40023,"#000000"
절단,옹벽,Directed,30359,,0.032383,"#000000"
절단,바닥,Directed,30360,,0.125213,"#000000"
절단,인지,Directed,30361,,0.075591,"#000000"
절단,단순,Directed,30362,,0.065301,"#000000"
절단,용기,Directed,30363,,0.065301,"#000000"
절단,작업중,Directed,30364,,0.03405,"#000000"
절단,신호,Directed,30365,,0.078976,"#000000"
절단,근로자,Directed,30366,,0.125079,"#000000"
절단,불안전,Directed,30367,,0.237103,"#000000"
절단,행동,Directed,30368,,0.221911,"#000000"
절단,구간,Directed,30371,,0.064967,"#000000"
절단,골절,Directed,30375,,0.130875,"#000000"
절단,부상,Directed,30376,,0.08374,"#000000"
절단,왼쪽,Directed,30377,,0.035652,"#000000"
절단,발목,Directed,30378,,0.080533,"#000000"
절단,오른쪽,Directed,30379,,0.07448,"#000000"
절단,우측,Directed,30380,,0.070806,"#000000"
절단,부위,Directed,30383,,0.034999,"#000000"
절단,자세,Directed,30388,,0.281119,"#000000"
절단,산마루,Directed,30390,,0.160691,"#000000"
절단,무의식,Directed,30391,,0.146806,"#000000"
절단,케이싱,Directed,30392,,0.14096,"#000000"
절단,취급,Directed,30393,,0.115675,"#000000"
절단,자간,Directed,30394,,0.11849,"#000000"
절단,중량,Directed,30395,,0.111584,"#000000"
인지,자의,Directed,30396,,0.155874,"#000000"
인지,부주의,Directed,30397,,0.243721,"#000000"
인지,옹벽,Directed,30398,,0.077835,"#000000"
인지,바닥,Directed,30399,,0.089219,"#000000"
인지,절단,Directed,30400,,0.075591,"#000000"
인지,단순,Directed,30401,,0.06472,"#000000"
인지,용기,Directed,30402,,0.06472,"#000000"
인지,작업중,Directed,30403,,0.064565,"#000000"
인지,신호,Directed,30404,,0.088001,"#000000"
인지,불안전,Directed,30405,,0.158118,"#000000"
인지,행동,Directed,30406,,0.147925,"#000000"
인지,이동,Directed,30408,,0.114795,"#000000"
인지,자재,Directed,30409,,0.06295,"#000000"
인지,위치,Directed,30411,,0.032162,"#000000"
인지,보행,Directed,30414,,0.13426,"#000000"
인지,균형,Directed,30415,,0.128126,"#000000"
인지,구간,Directed,30416,,0.070052,"#000000"
인지,사면,Directed,30417,,0.037456,"#000000"
인지,낙상,Directed,30418,,0.08377,"#000000"
인지,증가,Directed,30419,,0.104462,"#000000"
인지,장애물,Directed,30420,,0.100947,"#000000"
인지,주위,Directed,30422,,0.149653,"#000000"
인지,수사,Directed,30423,,0.107344,"#000000"
인지,램프,Directed,30424,,0.107344,"#000000"
인지,모름,Directed,30425,,0.107344,"#000000"
인지,자상,Directed,30426,,0.107344,"#000000"
인지,사인,Directed,30427,,0.107344,"#000000"
인지,마기,Directed,30428,,0.107344,"#000000"
인지,광역,Directed,30429,,0.107344,"#000000"
인지,암표,Directed,30430,,0.107344,"#000000"
인지,미흡,Directed,30431,,0.024604,"#000000"
인지,대한,Directed,30438,,0.072145,"#000000"
인지,자세,Directed,30442,,0.194951,"#000000"
인지,산마루,Directed,30444,,0.107344,"#000000"
인지,무의식,Directed,30445,,0.09805,"#000000"
인지,케이싱,Directed,30446,,0.094119,"#000000"
인지,취급,Directed,30447,,0.082805,"#000000"
인지,자간,Directed,30448,,0.083011,"#000000"
인지,중량,Directed,30449,,0.079871,"#000000"
단순,자의,Directed,30450,,0.119843,"#000000"
단순,부주의,Directed,30451,,0.193565,"#000000"
단순,옹벽,Directed,30452,,0.031288,"#000000"
단순,바닥,Directed,30453,,0.030013,"#000000"
단순,절단,Directed,30454,,0.065301,"#000000"
