Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
난간,난간,18,18,36,3,0.463333,0.516787,39.495538,5,-6406.008301,-1788.138184,423.529419,"#00caff"
보호,보호,19,19,38,3,0.474403,0.527578,82.692038,5,-12289.853516,-4327.486816,437.254883,"#00caff"
의식,의식,11,11,22,3,0.429012,0.471223,3.001886,5,-10789.254883,-2846.105957,327.450989,"#00caff"
준수,준수,30,30,60,3,0.486014,0.56235,367.124639,1,-4215.232422,-16354.852539,588.235291,"#5fc613"
부족,부족,27,27,54,3,0.503623,0.567146,181.773865,0,-7417.451172,-6581.69043,547.058838,"#2e9072"
미착,미착,18,18,36,3,0.464883,0.517986,63.58399,5,-10456.793945,-4523.301758,423.529419,"#00caff"
시설,시설,15,15,30,3,0.468013,0.513189,16.344591,5,-13098.722656,-1911.553955,382.352936,"#00caff"
불안전,불안전,28,28,56,3,0.503623,0.569544,239.287348,1,-2794.005371,-7342.202637,560.784302,"#5fc613"
행동,행동,28,28,56,3,0.487719,0.558753,175.181999,1,-3102.17041,-9141.213867,560.784302,"#5fc613"
근로자,근로자,12,12,24,3,0.482639,0.516787,3.630876,1,-1853.806396,-3373.561523,341.176483,"#5fc613"
전방,전방,19,19,38,3,0.494662,0.541966,136.532743,0,-11508.05957,-11714.891602,437.254883,"#2e9072"
지게차,지게차,15,15,30,3,0.429012,0.480815,37.062337,4,23353.314453,-8395.897461,382.352936,"#c686e9"
적재,적재,21,21,42,3,0.505455,0.553957,409.709928,4,19063.001953,-6106.391113,464.705872,"#c686e9"
자의,자의,20,20,40,3,0.471186,0.527578,72.499104,1,-1236.882935,-9190.704102,450.980408,"#5fc613"
과실,과실,10,10,20,3,0.434375,0.473621,0.222222,1,-3614.327148,-5883.807617,313.725494,"#5fc613"
단순,단순,21,21,42,3,0.472789,0.531175,82.212881,1,424.518921,-9847.06543,464.705872,"#5fc613"
자세,자세,11,11,22,3,0.435737,0.477218,1.711111,1,-4585.998535,-6722.19873,327.450989,"#5fc613"
개인,개인,44,44,88,3,0.540856,0.630695,1118.316381,1,-8037.081543,-9055.472656,780.392212,"#5fc613"
주시,주시,13,13,26,3,0.482639,0.519185,69.911508,0,-13181.458984,-14007.164062,354.901978,"#2e9072"
콘크리트,콘크리트,14,14,28,3,0.445513,0.492806,23.294039,4,8744.40332,214.50943,368.627441,"#c686e9"
펌프,펌프,17,17,34,3,0.449838,0.503597,72.364579,4,13155.499023,-370.702911,409.803925,"#c686e9"
호스,호스,28,28,56,3,0.516729,0.577938,440.883813,4,15996.048828,-3394.592529,560.784302,"#c686e9"
잔재,잔재,21,21,42,3,0.477663,0.534772,192.15539,4,16330.017578,-767.591858,464.705872,"#c686e9"
분배,분배,14,14,28,3,0.445513,0.492806,23.294039,4,11252.163086,-664.942139,368.627441,"#c686e9"
철근콘크리트,철근콘크리트,15,15,30,3,0.446945,0.496403,44.31886,4,14775.383789,2749.645996,382.352936,"#c686e9"
차량,차량,19,19,38,4,0.433022,0.496403,115.300657,4,22162.017578,-5461.933105,437.254883,"#c686e9"
포트,포트,9,9,18,4,0.387187,0.431655,0,4,19150.369141,-1289.152588,300,"#c686e9"
레미콘,레미콘,20,20,40,3,0.471186,0.527578,222.564112,4,22982.832031,-3277.469971,450.980408,"#c686e9"
호퍼,호퍼,10,10,20,4,0.388268,0.435252,3.58571,4,20932.142578,-1155.202515,313.725494,"#c686e9"
후진,후진,16,16,32,4,0.398281,0.460432,60.318838,4,25050.132812,-1770.937622,396.07843,"#c686e9"
슈트,슈트,14,14,28,4,0.398281,0.455635,21.57121,4,21789.113281,911.188416,368.627441,"#c686e9"
압력,압력,13,13,26,4,0.391549,0.446043,15.762395,4,20046.396484,547.30658,354.901978,"#c686e9"
목재,목재,12,12,24,3,0.411243,0.456835,0,2,-5657.973145,22739.123047,341.176483,"#ff5c81"
절단,절단,14,14,28,3,0.434375,0.483213,5.573635,2,-7071.578613,22975.361328,368.627441,"#ff5c81"
톱날,톱날,14,14,28,3,0.434375,0.483213,5.573635,2,-6597.512207,24619.0625,368.627441,"#ff5c81"
스킬,스킬,15,15,30,3,0.435737,0.486811,14.240302,2,-8937.936523,24590.888672,382.352936,"#ff5c81"
나무,나무,14,14,28,3,0.434375,0.483213,5.573635,2,-7745.993652,26646.845703,368.627441,"#ff5c81"
공용,공용,12,12,24,3,0.411243,0.456835,0,2,-5421.193848,25809.527344,341.176483,"#ff5c81"
원형,원형,15,15,30,3,0.446945,0.496403,14.501477,2,-5590.48291,27576.154297,382.352936,"#ff5c81"
원인,원인,12,12,24,3,0.464883,0.503597,41.893024,0,-11840.763672,-14974.864258,341.176483,"#2e9072"
피로,피로,18,18,36,3,0.471186,0.522782,80.628344,0,-12230.073242,-17629.583984,423.529419,"#2e9072"
타워,타워,13,13,26,3,0.446945,0.491607,40.149444,4,18141.736328,-15872.080078,354.901978,"#c686e9"
바람,바람,13,13,26,3,0.446945,0.491607,34.216614,4,20470.917969,-14701.555664,354.901978,"#c686e9"
유도,유도,15,15,30,3,0.449838,0.498801,57.468878,4,20813.662109,-16711.892578,382.352936,"#c686e9"
착용,착용,11,11,22,3,0.451299,0.490408,15.138844,5,-14361.411133,-6291.70752,327.450989,"#00caff"
안구,안구,13,13,26,3,0.464883,0.505995,52.443204,5,-16490.638672,-4631.665039,354.901978,"#00caff"
교육,교육,12,12,24,3,0.445513,0.48801,7.04209,0,-5939.057617,-11079.248047,341.176483,"#2e9072"
안전교육,안전교육,12,12,24,3,0.445513,0.48801,7.04209,0,-6901.145996,-11923.225586,341.176483,"#2e9072"
대한,대한,12,12,24,3,0.445513,0.48801,7.04209,0,-5815.728516,-12481.061523,341.176483,"#2e9072"
방법,방법,25,25,50,3,0.480969,0.546763,168.670943,1,-4114.111816,-13972.041992,519.607849,"#5fc613"
외국인,외국인,12,12,24,3,0.445513,0.48801,7.04209,0,-6811.149414,-13603.3125,341.176483,"#2e9072"
요인,요인,12,12,24,3,0.445513,0.48801,7.04209,0,-8101.043457,-12674.821289,341.176483,"#2e9072"
장소,장소,12,12,24,3,0.445513,0.48801,7.04209,0,-7921.907715,-14322.173828,341.176483,"#2e9072"
질병,질병,9,9,18,4,0.398281,0.443046,0,0,-10125.637695,-14288.616211,300,"#2e9072"
질환,질환,9,9,18,4,0.398281,0.443046,0,0,-9472.085938,-15235.987305,300,"#2e9072"
골격계,골격계,9,9,18,4,0.398281,0.443046,0,0,-10645.631836,-15937.210938,300,"#2e9072"
심근경색,심근경색,9,9,18,4,0.398281,0.443046,0,0,-10107.754883,-17114.189453,300,"#2e9072"
신호,신호,18,18,36,3,0.445513,0.502398,120.670338,4,11628.984375,-12165.773438,423.529419,"#c686e9"
의사소통,의사소통,11,11,22,3,0.433022,0.47482,1.46857,4,8283.5,-10915.412109,327.450989,"#c686e9"
자간,자간,12,12,24,3,0.442675,0.485612,10.193292,4,7418.177734,-11878.675781,341.176483,"#c686e9"
소통,소통,12,12,24,3,0.442675,0.485612,10.193292,4,7184.245605,-10868.404297,341.176483,"#c686e9"
부재,부재,27,27,54,3,0.489437,0.557554,586.736189,1,3133.029053,-12011.503906,547.058838,"#5fc613"
체계,체계,11,11,22,3,0.433022,0.47482,1.46857,4,8617.523438,-12265.881836,327.450989,"#c686e9"
일치,일치,12,12,24,3,0.444089,0.486811,25.721737,4,9620.765625,-11437.199219,341.176483,"#c686e9"
관리,관리,24,24,48,4,0.438486,0.513789,100.28882,0,-3074.427246,-11550.024414,505.882355,"#2e9072"
