Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
빠루,빠루,20,20,40,3,0.485893,0.533333,32.823734,0,8134.960449,-19866.396484,565,"#d97dd8"
계단,계단,39,39,78,3,0.561594,0.62043,437.841741,1,12277.348633,4444.35791,850,"#8cb900"
가설,가설,28,28,56,3,0.547703,0.589247,80.412057,0,9401.277344,-1970.513184,685,"#d97dd8"
슬라브,슬라브,36,36,72,3,0.553571,0.609677,434.403701,4,-15764.400391,-14812.602539,805,"#ff7045"
부주의,부주의,27,27,54,3,0.508197,0.563441,655.289115,1,15450.34082,5992.57666,670,"#8cb900"
어깨,어깨,15,15,30,3,0.469697,0.510753,4.567372,0,969.98822,-9610.789062,490,"#d97dd8"
본인,본인,19,19,38,3,0.476923,0.524731,22.421992,0,209.459076,-19173.791016,550,"#d97dd8"
강제,강제,14,14,28,3,0.468278,0.507527,2.491374,0,-566.139954,-11038.417969,475,"#d97dd8"
선관,선관,14,14,28,3,0.468278,0.507527,2.491374,0,-45.706623,-12709.523438,475,"#d97dd8"
제거,제거,57,57,114,3,0.600775,0.678495,1250.767069,0,-8549.369141,-14397.681641,1120,"#d97dd8"
발등,발등,30,30,60,3,0.51495,0.574194,84.791665,0,-6671.554688,-7440.214355,715,"#d97dd8"
왼손,왼손,13,13,26,3,0.468278,0.505376,2.916197,0,9366.053711,-6344.747559,460,"#d97dd8"
엄지손가락,엄지손가락,13,13,26,3,0.464072,0.502151,2.923607,0,10683.487305,-7588.59375,460,"#d97dd8"
러그,러그,11,11,22,3,0.46131,0.495699,0.117647,0,9968.976562,-5030.22998,430,"#d97dd8"
새끼손가락,새끼손가락,11,11,22,3,0.46131,0.495699,0.117647,0,10975.279297,-6054.095703,430,"#d97dd8"
끼임,끼임,40,40,80,3,0.561594,0.622581,472.995832,0,16525.523438,-7824.821289,865,"#d97dd8"
근로자,근로자,13,13,26,3,0.468278,0.505376,13.661214,1,14927.813477,2299.400635,460,"#8cb900"
지주,지주,11,11,22,3,0.446686,0.483871,1.977634,1,16082.938477,1107.838867,430,"#8cb900"
인적,인적,11,11,22,3,0.446686,0.483871,1.977634,1,16768.962891,2264.314209,430,"#8cb900"
공간,공간,23,23,46,3,0.492063,0.544086,60.996892,1,20538.521484,3180.618652,610,"#8cb900"
실행,실행,12,12,24,3,0.45858,0.495699,9.084965,1,18548.570312,1706.77063,445,"#8cb900"
탈구,탈구,12,12,24,3,0.45858,0.495699,9.084965,1,17537.197266,709.692566,445,"#8cb900"
흙막이,흙막이,17,17,34,3,0.487421,0.527957,1.714982,0,10868.910156,-3500.55542,520,"#d97dd8"
갱폼,갱폼,17,17,34,3,0.487421,0.527957,1.714982,0,12835.439453,-4827.537109,520,"#d97dd8"
순간,순간,18,18,36,3,0.506536,0.543011,5.276238,0,12838.755859,-6735.079102,535,"#d97dd8"
하층,하층,20,20,40,3,0.530822,0.562366,19.764868,0,12909.40332,-2818.965332,565,"#d97dd8"
상태,상태,37,37,74,2,0.567766,0.619355,425.608712,3,13038.717773,24628.505859,820,"#00c7ff"
낙상,낙상,19,19,38,3,0.493631,0.536559,669.230822,1,14701.804688,4329.125977,550,"#8cb900"
설치,설치,42,42,84,3,0.563636,0.627957,535.840731,3,7891.823242,23865.939453,895,"#00c7ff"
붕괴,붕괴,30,30,60,3,0.545775,0.592473,175.898552,0,7697.350098,12771.142578,715,"#d97dd8"
